RowNumber,id_user,Surname,Geography,Gender,Age,field,Salary,center of interest
61,15651280,Hunter,Germany,Male,35,space,84509.57,aerospace-engineer
62,15773469,Clark,Germany,Female,27,sport,126494.82,arbitrator
63,15702014,Jeffrey,Spain,Male,33,politics,178798.13,diplomat
64,15751208,Pirozzi,Spain,Male,56,graphics,99398.36,Apparel-graphic-designer
65,15592461,Jackson,Germany,Male,26,graphics,92840.67,Apparel-graphic-designer
66,15789484,Hammond,Germany,Female,36,space,27758.36,astronomer
67,15696061,Brownless,Germany,Female,34,sport,110431.51,arbitrator
68,15641582,Chibugo,Germany,Male,43,business,196673.28,business-man
69,15638424,Glauert,Germany,Female,35,sport,113656.85,arbitrator
70,15755648,Pisano,France,Female,21,space,18203,astronomer
71,15703793,Konovalova,Germany,Male,58,space,28373.86,astronomer
72,15620344,McKee,France,Male,29,space,33953.87,astronomer
73,15812518,Palermo,Spain,Female,37,space,44203.55,astronomer
74,15779052,Ballard,Germany,Female,25,space,58426.81,astronomer
75,15770811,Wallace,France,Male,36,sport,145562.4,footballer
76,15780961,Cavenagh,France,Female,21,space,22388,astronomer
77,15614049,Hu,France,Male,55,sport,139161.64,coach
78,15662085,Read,France,Female,32,sport,148210.64,footballer
79,15575185,Bushell,Spain,Male,33,business,194239.63,business-developer
80,15803136,Postle,Germany,Female,41,graphics,98301.61,Apparel-graphic-designer
81,15706021,Buley,France,Female,34,politics,171413.66,diplomat
82,15663706,Leonard,France,Female,32,sport,136458.19,coach
83,15641732,Mills,France,Female,36,space,26019.59,astronomer
84,15701164,Onyeorulu,France,Female,34,politics,159235.29,lawyer
85,15738751,Beit,France,Female,46,space,1907.66,astronomer
86,15805254,Ndukaku,Spain,Female,75,sport,114675.75,arbitrator
87,15762418,Gant,Spain,Male,22,sport,128643.35,arbitrator
88,15625759,Rowley,France,Male,30,politics,151869.35,lawyer
89,15622897,Sharpe,France,Female,46,graphics,93251.42,Apparel-graphic-designer
90,15767954,Osborne,Germany,Female,28,politics,156791.36,lawyer
91,15757535,Heap,Spain,Female,44,politics,174205.22,diplomat
92,15731511,Ritchie,France,Male,45,sport,147132.46,footballer
93,15809248,Cole,France,Female,36,graphics,109614.57,Photo-editor
94,15640635,Capon,France,Male,29,politics,172290.61,diplomat
95,15676966,Capon,Spain,Male,42,space,85982.47,aerospace-engineer
96,15699461,Fiorentini,Spain,Male,35,sport,121277.78,arbitrator
97,15738721,Graham,Spain,Male,41,space,64595.25,plasma-physicist
98,15693683,Yuille,Germany,Male,29,business,197276.13,business-man
99,15604348,Allard,Spain,Male,22,graphics,99645.04,Apparel-graphic-designer
100,15633059,Fanucci,France,Male,34,space,6534.18,astronomer
101,15808582,Fu,France,Female,40,politics,161848.03,judge
102,15743192,Hung,France,Female,44,politics,167162.43,judge
103,15580146,Hung,France,Male,31,space,41970.72,astronomer
104,15776605,Bradley,Spain,Male,36,space,60536.56,plasma-physicist
105,15804919,Dunbabin,Spain,Female,65,politics,177655.68,diplomat
106,15613854,Mauldon,Spain,Female,46,space,30984.59,astronomer
107,15599195,Stiger,Germany,Male,32,space,10054.53,astronomer
108,15812878,Parsons,Germany,Female,36,space,36976.52,astronomer
109,15602312,Walkom,Spain,Male,33,space,71862.79,plasma-physicist
110,15744689,T'ang,Germany,Male,35,graphics,99449.86,Apparel-graphic-designer
111,15803526,Eremenko,Germany,Male,30,space,63082.88,plasma-physicist
112,15665790,Rowntree,Germany,Male,39,space,27231.26,astronomer
113,15715951,Thorpe,France,Male,42,space,86797.41,aerospace-engineer
114,15591100,Chiemela,Spain,Male,36,space,22994.32,astronomer
115,15609618,Fanucci,Germany,Male,28,graphics,101300.94,Photo-editor
116,15675522,Ko,Germany,Female,30,space,74169.13,aerospace-engineer
117,15705512,Welch,Germany,Female,37,sport,115638.29,arbitrator
118,15698028,Duncan,France,Female,41,space,31766.3,astronomer
119,15661670,Chidozie,Germany,Female,31,business,199725.39,business-man
120,15600781,Wu,Germany,Male,34,sport,120834.48,arbitrator
121,15682472,Culbreth,France,Male,34,space,38131.77,astronomer
122,15580203,Kennedy,Spain,Male,39,graphics,100130.95,Photo-editor
123,15690673,Cameron,France,Female,39,sport,141069.88,footballer
124,15760085,Calabresi,Germany,Female,48,business,198129.36,business-man
125,15779659,Zetticci,France,Female,28,business,183646.41,business-manger
126,15627360,Fuller,France,Male,42,sport,110265.24,arbitrator
127,15671137,MacDonald,France,Female,52,space,8636.05,astronomer
128,15782688,Piccio,Germany,Male,56,space,46824.08,astronomer
129,15575492,Kennedy,France,Female,41,politics,171378.77,diplomat
130,15591607,Fernie,France,Male,24,politics,167256.35,judge
131,15740404,He,France,Female,34,sport,124226.16,arbitrator
132,15718369,Kaodilinakachukwu,Germany,Female,33,sport,114935.21,arbitrator
133,15677871,Cocci,France,Male,38,space,35608.88,astronomer
134,15642004,Alekseeva,France,Male,25,space,16459.37,astronomer
135,15712543,Chinweike,Germany,Male,39,sport,124411.08,arbitrator
136,15584518,Arthur,Germany,Female,50,space,34941.23,astronomer
137,15802381,Li,Germany,Female,34,politics,167784.28,judge
138,15610156,Ma,France,Male,40,graphics,93165.34,Apparel-graphic-designer
139,15594408,Chia,Spain,Female,48,space,75161.25,aerospace-engineer
140,15640905,Vasin,Spain,Female,35,space,8590.83,astronomer
141,15698932,Groves,Germany,Male,44,business,189543.9,business-manger
142,15724944,Tien,France,Male,34,business,180427.24,business-manger
143,15628145,Forwood,France,Female,43,business,193318.33,business-developer
144,15713483,Greeves,Spain,Male,52,politics,159123.82,lawyer
145,15612350,Taylor,France,Female,31,sport,126213.84,arbitrator
146,15800703,Madukwe,Spain,Female,21,space,54141.5,astronomer
147,15705707,Bennelong,Spain,Female,29,sport,141075.51,footballer
148,15754105,Olisanugo,France,Male,37,space,24495.03,astronomer
149,15703264,Chukwufumnanya,France,Male,44,space,74836.34,aerospace-engineer
150,15794413,Harris,France,Male,32,space,878.87,astronomer
151,15650237,Morgan,Spain,Female,32,space,89520.75,aerospace-engineer
152,15759618,Alexeeva,France,Female,48,sport,149892.79,footballer
153,15811589,Metcalfe,Spain,Male,42,business,180800.42,business-manger
154,15689044,Humphries,France,Male,37,graphics,98646.22,Apparel-graphic-designer
155,15709368,Milne,France,Female,43,graphics,109041.53,Photo-editor
156,15679145,Chou,Spain,Male,57,space,17941.16,astronomer
157,15655007,Li,France,Female,33,space,82996.47,aerospace-engineer
158,15623595,Clayton,Spain,Female,28,graphics,92067.35,Apparel-graphic-designer
159,15589975,Maclean,France,Female,73,graphics,104719.66,Photo-editor
160,15804017,Chigolum,Germany,Female,33,sport,112687.57,arbitrator
161,15692132,Wilkinson,Spain,Female,22,space,84699.56,aerospace-engineer
162,15641122,Wei,France,Male,30,space,83473.82,aerospace-engineer
163,15630910,Treacy,France,Female,49,space,47125.11,astronomer
164,15680772,Hu,Spain,Female,36,graphics,106977.8,Photo-editor
165,15658929,Taverner,Spain,Male,29,space,55582.54,astronomer
166,15585388,Sherman,Germany,Male,31,sport,139874.43,coach
167,15724623,Taubman,Germany,Female,24,politics,162503.48,judge
168,15588537,Robinson,Spain,Female,41,business,196499.96,business-man
169,15574692,Pinto,Spain,Female,39,space,40721.24,astronomer
170,15611325,Wood,Germany,Male,24,space,53134.3,astronomer
171,15587562,Hawkins,France,Female,29,politics,164017.89,judge
172,15613172,Sun,Germany,Male,27,politics,155996.96,lawyer
173,15651022,Yost,Germany,Male,44,space,5472.7,astronomer
174,15586310,Ting,France,Male,30,sport,112187.11,arbitrator
175,15625524,Rowe,France,Male,40,sport,146457.83,footballer
176,15755209,Fu,Spain,Female,35,space,27286.1,astronomer
177,15645248,Ho,France,Female,30,sport,130553.47,coach
178,15790355,Okechukwu,Germany,Male,36,politics,179351.89,diplomat
179,15762615,Campbell,Spain,Female,40,graphics,94774.12,Apparel-graphic-designer
180,15625426,Ashbolt,Germany,Female,55,space,8080.85,astronomer
181,15716334,Rozier,Spain,Female,45,space,19482.5,astronomer
182,15789669,Hsia,France,Male,65,space,48071.61,astronomer
183,15621075,Ogbonnaya,Germany,Female,45,politics,174531.27,diplomat
184,15810845,T'ang,France,Male,42,space,55470.78,astronomer
185,15719377,Cocci,France,Female,50,space,8546.87,astronomer
186,15654506,Chang,France,Male,32,graphics,95857.18,Apparel-graphic-designer
187,15771977,T'ao,France,Female,39,business,194945.8,business-developer
188,15708710,Ford,Spain,Female,37,sport,131521.72,coach
189,15726676,Marshall,Spain,Male,30,business,196108.51,business-man
190,15587421,Tsai,Germany,Female,34,sport,148564.76,footballer
191,15726931,Onwumelu,France,Female,41,graphics,92982.61,Apparel-graphic-designer
192,15771086,Graham,France,Female,36,space,17675.36,astronomer
193,15756850,Golovanov,France,Male,40,sport,114996.43,arbitrator
194,15702741,Potts,France,Male,32,space,86957.42,aerospace-engineer
195,15679200,Crawford,Spain,Male,29,sport,128077.8,arbitrator
196,15594815,Aleshire,France,Male,35,space,600.36,astronomer
197,15635905,Moran,Spain,Female,32,space,43001.46,astronomer
198,15777892,Samsonova,Germany,Male,37,politics,158591.12,lawyer
199,15656176,Jenkins,France,Male,57,space,47847.19,astronomer
200,15811127,Volkov,France,Male,35,space,10488.44,astronomer
201,15604482,Chiemezie,Spain,Male,30,space,5978.2,astronomer
202,15622911,Jude,France,Male,42,sport,121409.06,arbitrator
203,15600974,He,Spain,Male,50,sport,146145.93,footballer
204,15727868,Onuora,France,Female,38,space,14374.86,astronomer
205,15627801,Ginikanwa,Spain,Male,33,graphics,94670.77,Apparel-graphic-designer
206,15773039,Ku,France,Male,37,politics,179670.31,diplomat
207,15755262,McDonald,Spain,Female,41,business,199304.74,business-man
208,15679531,Collins,France,Male,34,politics,151954.39,lawyer
209,15684181,Hackett,France,Male,45,sport,142513.5,footballer
210,15612087,Dike,France,Male,45,politics,158264.62,lawyer
211,15752047,Trevisano,Germany,Male,33,politics,169381.9,judge
212,15624592,Tan,France,Male,31,politics,169915.02,judge
213,15573152,Glassman,France,Female,41,space,88852.47,aerospace-engineer
214,15594917,Miller,France,Female,34,space,40645.81,astronomer
215,15785542,Kornilova,Germany,Male,26,space,60427.3,plasma-physicist
216,15723488,Watson,Germany,Male,47,politics,157959.02,lawyer
217,15680920,Marchesi,France,Male,46,sport,133007.34,coach
218,15786308,Millar,Spain,Female,33,politics,176576.62,diplomat
219,15659366,Shih,France,Male,43,space,34888.04,astronomer
220,15774854,Fuller,France,Male,54,space,28737.71,astronomer
221,15725311,Hay,France,Female,31,graphics,98178.57,Apparel-graphic-designer
222,15787155,Yang,Spain,Male,30,sport,125010.24,arbitrator
223,15727829,McIntyre,France,Male,42,politics,167984.61,judge
224,15733247,Stevenson,France,Male,33,space,4861.72,astronomer
225,15568748,Poole,Germany,Male,45,graphics,108872.45,Photo-editor
226,15699029,Bagley,France,Male,37,business,198252.88,business-man
227,15774393,Ch'ien,France,Female,30,space,26960.31,astronomer
228,15676895,Cattaneo,Germany,Female,39,space,85746.52,aerospace-engineer
229,15637753,O'Sullivan,Germany,Male,50,space,77206.25,aerospace-engineer
230,15605461,Lucas,Germany,Female,29,space,61048.53,plasma-physicist
231,15808473,Ringrose,France,Male,72,sport,111981.19,arbitrator
232,15627000,Freeman,France,Male,40,space,62232.6,plasma-physicist
233,15787174,Sergeyev,France,Female,37,politics,156105.03,lawyer
234,15723886,Fiore,Germany,Male,20,politics,150135.38,lawyer
235,15704769,Smith,France,Female,67,graphics,93146.11,Apparel-graphic-designer
236,15772896,Dumetochukwu,Germany,Male,42,space,33462.94,astronomer
237,15711540,Pacheco,France,Female,29,sport,144375,footballer
238,15764866,Synnot,Germany,Female,43,space,55803.96,astronomer
239,15794056,Johnston,France,Female,46,space,89048.46,aerospace-engineer
240,15795149,Stevens,France,Male,28,politics,162812.16,judge
241,15812009,Grant,Spain,Male,38,sport,136259.65,coach
242,15651001,Tsao,Germany,Female,39,sport,124052.97,arbitrator
243,15813844,Barnes,France,Male,37,space,74158.8,aerospace-engineer
244,15596175,McIntosh,Germany,Male,67,space,45071.09,astronomer
245,15576269,Madison,Spain,Male,34,space,62030.06,plasma-physicist
246,15797219,Ifesinachi,France,Female,40,sport,131953.23,coach
247,15685500,Glazkov,Germany,Male,26,space,79414,aerospace-engineer
248,15599792,Dimauro,France,Female,26,business,199638.56,business-man
249,15657566,Wieck,Germany,Male,24,politics,157577.29,lawyer
250,15772423,Liao,Germany,Male,54,sport,134420.75,coach
251,15628112,Hughes,Germany,Female,36,graphics,99805.99,Apparel-graphic-designer
252,15753754,Morrison,Spain,Female,34,graphics,97932.68,Apparel-graphic-designer
253,15793726,Matveyeva,France,Female,79,politics,170968.99,diplomat
254,15694717,Ku,Germany,Male,37,space,57558.95,astronomer
255,15665834,Cheatham,Spain,Male,28,politics,176713.47,diplomat
256,15765297,Yao,Spain,Male,41,space,34283.23,astronomer
257,15636684,Kirkland,France,Male,34,business,198637.34,business-man
258,15592979,Rose,Germany,Female,34,politics,156917.12,lawyer
259,15750803,Jess,France,Female,30,space,50457.2,astronomer
260,15607178,Welch,Germany,Male,38,sport,140075.55,footballer
261,15713853,Ifeajuna,Germany,Male,42,space,65323.11,plasma-physicist
262,15673481,Morton,Spain,Female,48,space,64323.24,plasma-physicist
263,15686776,Rossi,France,Female,32,space,14956.44,astronomer
264,15673693,Reppert,France,Female,26,sport,111879.21,arbitrator
265,15700696,Kang,Spain,Male,31,space,18606.23,astronomer
266,15813163,Ch'iu,Spain,Female,36,sport,123137.01,arbitrator
267,15653857,Wallis,France,Male,34,sport,148528.24,footballer
268,15777076,Clark,France,Male,36,space,13898.31,astronomer
269,15717398,Fielding,Spain,Female,39,space,81259.25,aerospace-engineer
270,15799217,Zetticci,Germany,Female,35,politics,161051.75,judge
271,15787071,Dulhunty,Spain,Male,41,business,191599.67,business-developer
272,15619955,Bevington,Germany,Male,34,space,48559.19,astronomer
273,15796505,Boyle,Germany,Female,34,business,186339.74,business-manger
274,15725166,Newton,France,Male,30,space,33159.37,astronomer
275,15800116,Bowman,Germany,Male,28,graphics,93883.53,Apparel-graphic-designer
276,15758685,Dubinina,Spain,Female,37,sport,110899.3,arbitrator
277,15694456,Toscani,France,Male,62,space,11199.04,astronomer
278,15767339,Chiazagomekpere,France,Female,53,business,189992.97,business-manger
279,15683562,Allen,France,Male,35,politics,164255.69,judge
280,15782210,K'ung,France,Male,46,politics,152167.79,lawyer
281,15668893,Wilsmore,France,Male,39,space,33949.67,astronomer
282,15669169,Hargreaves,Spain,Male,29,space,68143.93,plasma-physicist
283,15643024,Huang,Germany,Male,35,space,47251.79,astronomer
284,15699389,Ch'ien,France,Male,42,space,25885.72,astronomer
285,15708608,Wallwork,France,Female,22,business,192633.85,business-developer
286,15626144,Chu,France,Male,40,space,34577.36,astronomer
287,15573112,Kang,Spain,Male,29,politics,161229.84,judge
288,15790678,Davidson,France,Female,32,graphics,100816.29,Photo-editor
289,15727556,O'Donnell,Spain,Female,26,business,181694.44,business-manger
290,15697307,Nnachetam,Spain,Male,34,space,79078.91,aerospace-engineer
291,15652266,Chidiebele,Germany,Male,42,sport,137316.32,coach
292,15607098,Ahmed,Spain,Female,41,business,194926.86,business-developer
293,15655774,Booth,France,Male,27,space,51285.49,astronomer
294,15590241,Chuang,Spain,Female,34,politics,150401.53,lawyer
295,15785819,Shao,France,Male,38,sport,112491.96,arbitrator
296,15723654,Tsao,France,Male,25,space,73656.38,aerospace-engineer
297,15774510,Tien,France,Female,31,graphics,106636.89,Photo-editor
298,15684173,Chang,Spain,Female,44,politics,155853.52,lawyer
299,15650068,Johnson,France,Male,58,politics,162599.51,judge
300,15811490,French,France,Male,33,graphics,103737.82,Photo-editor
301,15803976,Efremov,France,Female,31,politics,160990.27,judge
302,15682541,Hartley,Spain,Female,36,space,15462.84,astronomer
303,15695699,Calabrese,France,Male,35,space,10334.05,astronomer
304,15624188,Chiu,France,Female,33,business,190686.16,business-developer
305,15812191,Brennan,France,Male,33,graphics,94440.45,Apparel-graphic-designer
306,15636673,Onwuatuegwu,France,Male,31,space,28257.63,astronomer
307,15594898,Hewitt,France,Male,43,politics,170034.95,diplomat
308,15660211,Shih,Germany,Male,35,space,31824.29,astronomer
309,15773972,Balashov,France,Male,50,sport,127166.49,arbitrator
310,15746726,Doyle,Germany,Male,31,space,44937.01,astronomer
311,15712287,Pokrovskii,France,Female,80,business,188603.07,business-manger
312,15702919,Collins,Germany,Male,30,sport,145111.37,footballer
313,15674398,Russo,France,Male,38,politics,171463.83,diplomat
314,15797960,Skinner,Germany,Female,59,business,182822.5,business-manger
315,15631868,Robertson,Spain,Male,36,space,87213.33,aerospace-engineer
316,15581539,Atkinson,Spain,Male,37,space,57175.32,astronomer
317,15662736,Doyle,France,Male,49,sport,120540.83,arbitrator
318,15666252,Ritchie,Spain,Male,42,space,28714.34,astronomer
319,15677512,McEncroe,Spain,Female,22,space,85426.28,aerospace-engineer
320,15626114,Pearson,France,Male,24,space,46170.75,astronomer
321,15810834,Gordon,Spain,Female,57,space,64448.36,plasma-physicist
322,15678910,Ts'ai,France,Female,30,space,16278.97,astronomer
323,15694408,Lung,France,Male,40,business,182855.42,business-manger
324,15585215,Yuan,France,Female,31,space,50404.72,astronomer
325,15682757,Pardey,France,Male,30,graphics,107640.25,Photo-editor
326,15736601,Tai,France,Male,35,sport,134132.65,coach
327,15601848,Scott,France,Male,35,graphics,103480.69,Photo-editor
328,15736008,Hunter,France,Female,46,graphics,108761.05,Photo-editor
329,15669064,Mazzanti,Germany,Male,35,politics,179012.3,diplomat
330,15624528,L?,Germany,Male,26,graphics,95145.14,Apparel-graphic-designer
331,15598493,Beach,France,Male,50,space,72143.44,aerospace-engineer
332,15601274,Hsieh,Spain,Female,40,space,19162.89,astronomer
333,15702669,Faulkner,Germany,Male,44,sport,144680.18,footballer
334,15728669,Knowles,Germany,Female,30,politics,177772.03,diplomat
335,15742668,Day,Spain,Female,37,space,5597.94,astronomer
336,15697441,Hsueh,France,Male,29,sport,116828.51,arbitrator
337,15740476,Tsao,Germany,Female,32,politics,174652.51,diplomat
338,15648064,Kennedy,France,Male,33,space,2010.98,astronomer
339,15636624,Nwabugwu,Spain,Female,39,space,14109.85,astronomer
340,15807923,Young,Germany,Female,39,space,43527.4,astronomer
341,15745844,Kerr,Germany,Female,40,space,86099.23,aerospace-engineer
342,15786170,Tien,France,Male,31,politics,161574.19,judge
343,15681081,Marrero,Spain,Female,47,space,38970.14,astronomer
344,15684484,White,France,Male,22,sport,127587.22,arbitrator
345,15785869,Pisano,France,Female,25,space,30380.12,astronomer
346,15763859,Brown,France,Female,43,graphics,90908.95,Apparel-graphic-designer
347,15658935,Freeman,Germany,Female,34,sport,138275.01,coach
348,15747358,Russell,Germany,Male,59,space,32171.79,astronomer
349,15735203,Seleznyov,Germany,Female,32,sport,126143.23,arbitrator
350,15576256,Yusupova,France,Male,39,sport,129892.93,arbitrator
351,15659420,Foley,Spain,Male,32,graphics,102416.84,Photo-editor
352,15593365,Shih,Spain,Male,39,space,18719.67,astronomer
353,15777352,Ikedinachukwu,Spain,Female,32,space,61936.22,plasma-physicist
354,15812007,Power,Spain,Male,25,space,78358.94,aerospace-engineer
355,15625461,Amos,France,Female,45,sport,147224.27,footballer
356,15739438,Reed,France,Male,30,politics,160979.66,judge
357,15611759,Simmons,Spain,Female,57,sport,132298.49,coach
358,15661629,Ricci,Spain,Male,34,politics,174248.52,diplomat
359,15633950,Yen,France,Male,41,sport,123547.28,arbitrator
360,15592386,Campbell,France,Male,58,space,32790.02,astronomer
361,15803716,West,Spain,Male,28,business,181543.67,business-manger
362,15696674,Robinson,Germany,Female,45,space,2319.96,astronomer
363,15706365,Bianchi,France,Female,50,business,189543.19,business-manger
364,15745088,Chen,Germany,Female,29,space,10940.4,astronomer
365,15676715,Madukaego,France,Male,68,business,199493.38,business-man
366,15613085,Ibrahimova,Spain,Female,33,business,188193.25,business-manger
367,15633537,Nolan,Germany,Female,42,politics,172572.64,diplomat
368,15594720,Scott,Germany,Female,35,business,189339.6,business-manger
369,15684042,Blair,Germany,Male,34,space,53512.16,astronomer
370,15583303,Monaldo,France,Female,29,space,34004.44,astronomer
371,15611579,Sutherland,Spain,Male,42,space,10598.29,astronomer
372,15774696,Cole,Germany,Female,75,sport,113428.77,arbitrator
373,15694506,Briggs,Germany,Male,31,business,183487.98,business-manger
374,15688074,Gregory,Germany,Male,31,business,187658.09,business-manger
375,15759537,Bianchi,Germany,Male,35,politics,172459.39,diplomat
376,15758449,Angelo,France,Female,39,space,21016,astronomer
377,15583456,Gardiner,Germany,Male,45,sport,122381.02,arbitrator
378,15667871,Kerr,Spain,Male,35,sport,128123.66,arbitrator
379,15677371,Ko,Spain,Female,30,space,19570.63,astronomer
380,15629677,Distefano,Spain,Female,39,business,188150.6,business-manger
381,15713578,Farrell,France,Female,50,sport,111020.24,arbitrator
382,15591509,Milano,France,Male,36,sport,123775.15,arbitrator
383,15568240,Ting,Germany,Female,30,sport,146700.22,footballer
384,15622993,Boyd,Germany,Male,28,sport,145251.35,footballer
385,15689294,Onyemaechi,Germany,Male,44,space,82463.69,aerospace-engineer
386,15720910,Black,France,Female,66,space,15928.49,astronomer
387,15721181,Oliver,Spain,Male,46,space,45886.33,astronomer
388,15776433,Greco,Spain,Male,62,business,186489.95,business-manger
389,15748936,Whitehead,Spain,Female,45,politics,162922.65,judge
390,15717225,Ikemefuna,France,Female,21,space,9262.77,astronomer
391,15685226,Morrison,Germany,Female,29,space,84932.4,aerospace-engineer
392,15785611,Onyeoruru,Germany,Male,38,space,71557.12,plasma-physicist
393,15573456,Cunningham,Spain,Male,46,space,77405.95,aerospace-engineer
394,15684548,Demidov,Spain,Male,38,space,417.41,astronomer
395,15620505,Celis,Spain,Female,24,space,71405.17,plasma-physicist
396,15807432,Cheng,Germany,Female,37,politics,153400.24,lawyer
397,15584766,Knight,France,Male,33,space,371.05,astronomer
398,15612187,Morin,Germany,Male,32,space,67789.99,plasma-physicist
399,15762218,Mills,France,Female,39,sport,145894.9,footballer
400,15646372,Outhwaite,France,Female,66,business,183840.51,business-manger
401,15690452,Tung,France,Male,52,graphics,108887.44,Photo-editor
402,15747795,Pai,Germany,Female,38,politics,154071.27,lawyer
403,15781589,Carpenter,Spain,Male,52,politics,179291.85,diplomat
404,15732674,Fennell,Spain,Male,36,space,56937.43,astronomer
405,15642291,Fontaine,France,Male,23,sport,112239.03,arbitrator
406,15692761,Pratt,France,Male,36,space,45909.87,astronomer
407,15578045,Mitchell,Spain,Female,49,politics,173779.25,diplomat
408,15745354,Franklin,Spain,Female,37,sport,125696.26,arbitrator
409,15701376,K'ung,Germany,Male,37,politics,159585.61,lawyer
410,15691625,Ko,Germany,Female,41,graphics,106761.47,Photo-editor
411,15566594,McKenzie,Spain,Male,23,sport,129590.18,arbitrator
412,15760431,Pino,France,Male,38,space,80006.65,aerospace-engineer
413,15686302,Fisk,Spain,Female,31,sport,140451.52,footballer
414,15801559,Chiang,Germany,Female,41,business,187929.43,business-manger
415,15810432,Moseley,Spain,Male,35,politics,167155.36,judge
416,15809616,Hsiung,Spain,Male,26,business,191420.71,business-developer
417,15720559,Heath,Germany,Female,61,space,11384.45,astronomer
418,15695632,Dellucci,France,Female,39,graphics,94898.1,Apparel-graphic-designer
419,15659843,Li,France,Female,46,graphics,106781.59,Photo-editor
420,15615624,De Salis,France,Female,28,politics,159508.52,lawyer
421,15810418,T'ang,Germany,Female,60,graphics,93524.19,Apparel-graphic-designer
422,15716186,Richardson,France,Female,38,space,87168.46,aerospace-engineer
423,15674551,Fitch,Germany,Male,40,space,8128.32,astronomer
424,15622834,Stevenson,France,Female,35,sport,125518.32,arbitrator
425,15566111,Estes,France,Male,39,space,48963.59,astronomer
